projection_type,lr_call_frequency,preserve_gain_weight,Seed,Final_Gain,Final_Null_Depth,Final_PTNR
hardware_coupled,5,0.5,4,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.9,0,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.9,1,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.9,2,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.9,3,-7.286986599250522,5.833063985690654,23.003548894736568
hardware_coupled,5,0.9,4,-7.286986599250522,5.833063985690654,23.003548894736568
phase_only_match,1,0.1,0,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.1,1,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.1,2,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.1,3,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.1,4,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.5,0,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.5,1,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.5,2,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.5,3,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.5,4,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.9,0,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.9,1,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.9,2,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.9,3,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,1,0.9,4,-27.59677494918899,9.12989024964918,-0.6030657191604263
phase_only_match,2,0.1,0,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.1,1,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.1,2,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.1,3,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.1,4,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.5,0,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.5,1,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.5,2,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.5,3,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.5,4,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.9,0,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.9,1,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.9,2,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.9,3,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,2,0.9,4,-21.66695862577533,4.003412527577298,10.453228326325114
phase_only_match,5,0.1,0,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.1,1,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.1,2,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.1,3,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.1,4,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.5,0,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.5,1,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.5,2,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.5,3,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.5,4,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.9,0,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.9,1,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.9,2,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.9,3,-27.716416623943083,9.858197812944303,-1.4510149572096402
phase_only_match,5,0.9,4,-27.716416623943083,9.858197812944303,-1.4510149572096402
